ISO3,Country,ISO,Adapation Funding,Mitigation Funding,A %,M %,Dual Purpose Funding,Total Climate Funding,Vulnerability,GNR Region,ODA,Climate Funding as % of ODA,,,FIG,PC,Population
MSR2021,Montserrat,MSR,0.513344,0.014177,0.973125241,0.026874759,0,0.527521,,Latin America and the Caribbean,36.31663,0.014525604,,,,0,
NIU2021,Niue,NIU,0.691533,0,1,0,0,0.691533,,Oceania,24.304522,0.028452853,,,,0,
PSE2021,West Bank and Gaza Strip,PSE,18.094622,11.406863,0.556252318,0.35066187,3.028037,32.529522,,Asia,2007.304937,0.016205571,,,,PC,4922749
SHN2021,Saint Helena,SHN,0.003272,0.062546,0.012745404,0.243635089,0.190902,0.25672,,Africa,49.689627,0.005166471,,,,0,
SSD2021,South Sudan,SSD,8.62759,0.840191,0.911257876,0.088742124,0,9.467781,0.6159,Africa,1991.342695,0.004754471,,,0.269680217,PC,10748272
TKL2021,Tokelau,TKL,0.126658,0,1,0,0,0.126658,,Oceania,13.19059,0.009602148,,,,0,
WLF2021,Wallis and Futuna,WLF,0,0,#DIV/0!,#DIV/0!,0,0,,Oceania,105.955556,0,,,,0,
XKX2021,Kosovo,XKX,0.023632,13.754781,0.001645821,0.957934614,0.580376,14.358789,,#N/A,428.262839,0.033527983,,,,0,1786038
SOM2021,Somalia,SOM,17.75681,4.354762,0.770850721,0.189046987,0.92377,23.035342,0.6585,Africa,2358.03294,0.00976888,,,0.086979175,PC,17065581
TCD2021,Chad,TCD,16.422351,1.912684,0.803087513,0.093534271,2.113983,20.449018,0.7331,Africa,685.263912,0.029841084,,,0.02640709,PC,17179740
NER2021,Niger,NER,31.437085,18.598539,0.605586868,0.358272117,1.876144,51.911768,0.6709,Africa,1681.649935,0.030869545,,,0.026555276,PC,25252722
GNB2021,Guinea-Bissau,GNB,1.964988,0,1,0,0,1.964988,0.6945,Africa,164.811435,0.011922644,,,0.025505369,0,2060721
FSM2021,Micronesia,FSM,3.200762,0,1,0,0,3.200762,0.6154,Oceania,125.093129,0.025587033,,,,0,113131
TON2021,Tonga,TON,2.900254,1.973242,0.576637452,0.392326065,0.156101,5.029597,0.5842,Oceania,102.883872,0.048886156,,,,0,106017
ERI2021,Eritrea,ERI,0.001927,0.005734,0.002701771,0.008039415,0.705575,0.713236,0.6892,Africa,42.760506,0.016679784,,,,0,3620312
SDN2021,Sudan,SDN,5.742037,0.003931,0.864038894,0.000591521,0.899609,6.645577,0.6772,Africa,4667.172426,0.001423898,,,0.08923181,PC,45657202
LBR2021,Liberia,LBR,6.767368,7.444811,0.419672263,0.461683284,1.913185,16.125364,0.6622,Africa,576.115446,0.027989814,,,0.077971333,0,5193416
SLB2021,Solomon Islands,SLB,2.676549,0.481076,0.842351188,0.151402026,0.019849,3.177474,0.5785,Oceania,242.471124,0.013104546,,,,0,707851
MLI2021,Mali,MLI,59.968387,14.129702,0.804684031,0.189598989,0.426053,74.524142,0.6527,Africa,1346.805827,0.055333991,,,0.015788624,PC,21904983
AFG2021,Afghanistan,AFG,5.992921,12.426918,0.314300944,0.651734282,0.647622,19.067461,0.67,Asia,4443.302021,0.004291282,,,0.252060657,PC,40099462
CAF2021,Central African Republic,CAF,0.702051,0.712145,0.496431188,0.503568812,0,1.414196,0.7285,Africa,620.74195,0.002278235,,,0.199632946,PC,5457154
UGA2021,Uganda,UGA,22.564824,13.545282,0.569261846,0.341718253,3.528637,39.638743,0.6461,Africa,2613.08482,0.015169329,,,0.120442493,PC,45853778
NRU2021,Nauru,NRU,0.691533,0.420714,0.621744091,0.378255909,0,1.112247,0.6203,Oceania,29.343847,0.037903926,,,,0,12511
MHL2021,Marshall Islands,MHL,1.395808,4.393613,0.241096303,0.758903697,0,5.789421,0.5896,Oceania,100.605637,0.057545692,,,,0,42050
COD2021,Democratic Republic of the Congo,COD,7.779449,14.049882,0.272248771,0.491688178,6.74545,28.574781,0.6892,Africa,3467.723365,0.008240214,,,0.122463907,PC,95894118
SLE2021,Sierra Leone,SLE,1.203107,6.84282,0.137749008,0.783464536,0.688125,8.734052,0.6235,Africa,687.741041,0.012699623,,,0.059024866,0,8420641
BDI2021,Burundi,BDI,6.657462,0.731746,0.480853993,0.052852421,6.455872,13.84508,0.6448,Africa,562.251422,0.024624357,,,0.048929085,PC,12551213
MRT2021,Mauritania,MRT,6.764543,0.020852,0.971556673,0.002994866,0.177187,6.962582,0.6067,Africa,486.57722,0.014309305,,,0.034267145,C,4614974
MDG2021,Madagascar,MDG,17.501994,11.755246,0.573510998,0.385199702,1.260037,30.517277,0.6473,Africa,1029.036222,0.029656174,,,0.229430785,C,28915653
VUT2021,Vanuatu,VUT,3.09042,0.167561,0.943939449,0.051179917,0.015979,3.27396,0.5949,Oceania,153.520159,0.021325929,,,,0,319137
BEN2021,Benin,BEN,30.259525,9.759261,0.726945706,0.234453544,1.606778,41.625564,0.6178,Africa,799.387549,0.052071819,,,0.010426593,0,12996895
ETH2021,Ethiopia,ETH,57.677886,48.407454,0.493578242,0.414246563,10.771282,116.856622,0.6285,Africa,4074.415658,0.028680584,,,0.391511757,PC,120283026
GIN2021,Guinea,GIN,2.784698,18.482637,0.127636981,0.847153976,0.549994,21.817329,0.6097,Africa,564.312868,0.038661761,,,0.020500758,0,13531906
PNG2021,Papua New Guinea,PNG,0.693678,2.208469,0.167302018,0.532640967,1.244115,4.146262,0.6261,Oceania,1151.32573,0.003601294,,,,0,9949437
YEM2021,Yemen,YEM,2.088423,0.031819,0.515931597,0.007860681,1.927626,4.047868,0.6552,Asia,3733.219583,0.001084283,,,0.236265717,PC,32981641
