countryname,iso3,year,region,protracted_crisis,variable,unit,value_precise,value_fixed
Afghanistan,AFG,2017,South Asia,yes,CCA_Share,percentage_share,0.2%,0.2
Afghanistan,AFG,2018,South Asia,yes,CCA_Share,percentage_share,0.18%,0.18
Afghanistan,AFG,2019,South Asia,yes,CCA_Share,percentage_share,0.13%,0.13
Afghanistan,AFG,2020,South Asia,yes,CCA_Share,percentage_share,0.19%,0.19
Afghanistan,AFG,2021,South Asia,yes,CCA_Share,percentage_share,0.13%,0.13
Afghanistan,AFG,2022,South Asia,yes,CCA_Share,percentage_share,0.17%,0.17
Angola,AGO,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.32%,0.32
Angola,AGO,2018,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.33%,0.33
Angola,AGO,2019,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.65%,0.65
Angola,AGO,2020,Sub-Saharan Africa,"",CCA_Share,percentage_share,1.29%,1.29
Angola,AGO,2021,Sub-Saharan Africa,yes,CCA_Share,percentage_share,1.53%,1.53
Angola,AGO,2022,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.73%,0.73
Albania,ALB,2017,Europe & Central Asia,"",CCA_Share,percentage_share,3.25%,3.25
Albania,ALB,2018,Europe & Central Asia,"",CCA_Share,percentage_share,0.66%,0.66
Albania,ALB,2019,Europe & Central Asia,"",CCA_Share,percentage_share,0.8%,0.8
Albania,ALB,2020,Europe & Central Asia,"",CCA_Share,percentage_share,0.81%,0.81
Albania,ALB,2021,Europe & Central Asia,"",CCA_Share,percentage_share,0.12%,0.12
Albania,ALB,2022,Europe & Central Asia,"",CCA_Share,percentage_share,0.31%,0.31
Argentina,ARG,2017,Latin America & Caribbean,"",CCA_Share,percentage_share,0.18%,0.18
Argentina,ARG,2018,Latin America & Caribbean,"",CCA_Share,percentage_share,0.95%,0.95
Argentina,ARG,2019,Latin America & Caribbean,"",CCA_Share,percentage_share,0.88%,0.88
Argentina,ARG,2020,Latin America & Caribbean,"",CCA_Share,percentage_share,2.29%,2.29
Argentina,ARG,2021,Latin America & Caribbean,"",CCA_Share,percentage_share,0.1%,0.1
Argentina,ARG,2022,Latin America & Caribbean,"",CCA_Share,percentage_share,1.78%,1.78
Armenia,ARM,2017,Europe & Central Asia,"",CCA_Share,percentage_share,8.65%,8.65
Armenia,ARM,2018,Europe & Central Asia,"",CCA_Share,percentage_share,0.39%,0.39
Armenia,ARM,2019,Europe & Central Asia,"",CCA_Share,percentage_share,0.81%,0.81
Armenia,ARM,2020,Europe & Central Asia,"",CCA_Share,percentage_share,4.76%,4.76
Armenia,ARM,2021,Europe & Central Asia,"",CCA_Share,percentage_share,2.88%,2.88
Armenia,ARM,2022,Europe & Central Asia,"",CCA_Share,percentage_share,2.54%,2.54
Antigua and Barbuda,ATG,2017,Latin America & Caribbean,"",CCA_Share,percentage_share,14.48%,14.48
Antigua and Barbuda,ATG,2018,Latin America & Caribbean,"",CCA_Share,percentage_share,0%,0
Antigua and Barbuda,ATG,2019,Latin America & Caribbean,"",CCA_Share,percentage_share,31.08%,31.08
Antigua and Barbuda,ATG,2020,Latin America & Caribbean,"",CCA_Share,percentage_share,8.99%,8.99
Antigua and Barbuda,ATG,2021,Latin America & Caribbean,"",CCA_Share,percentage_share,0%,0
Antigua and Barbuda,ATG,2022,Latin America & Caribbean,,CCA_Share,percentage_share,0%,0
Azerbaijan,AZE,2017,Europe & Central Asia,"",CCA_Share,percentage_share,0.01%,0.01
Azerbaijan,AZE,2018,Europe & Central Asia,"",CCA_Share,percentage_share,0.01%,0.01
Azerbaijan,AZE,2019,Europe & Central Asia,"",CCA_Share,percentage_share,0%,0
Azerbaijan,AZE,2020,Europe & Central Asia,"",CCA_Share,percentage_share,0.01%,0.01
Azerbaijan,AZE,2021,Europe & Central Asia,"",CCA_Share,percentage_share,0.13%,0.13
Azerbaijan,AZE,2022,Europe & Central Asia,"",CCA_Share,percentage_share,0.15%,0.15
Burundi,BDI,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.67%,0.67
Burundi,BDI,2018,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.77%,0.77
Burundi,BDI,2019,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.58%,0.58
Burundi,BDI,2020,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.48%,0.48
Burundi,BDI,2021,Sub-Saharan Africa,yes,CCA_Share,percentage_share,1.08%,1.08
Burundi,BDI,2022,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.54%,0.54
Benin,BEN,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,2.39%,2.39
Benin,BEN,2018,Sub-Saharan Africa,"",CCA_Share,percentage_share,3.23%,3.23
Benin,BEN,2019,Sub-Saharan Africa,"",CCA_Share,percentage_share,1.26%,1.26
Benin,BEN,2020,Sub-Saharan Africa,"",CCA_Share,percentage_share,4.38%,4.38
