Donor,Year,Display,Series,Value
All donors,2013,Volumes,Bilateral,"12,019.20"
All donors,2013,Volumes,Multilateral through UN and others,"1,815.90"
All donors,2013,Volumes,Contributions to EU institutions' humanitarian assistance,"1,934.10"
All donors,2014,Volumes,Bilateral,"15,722.40"
All donors,2014,Volumes,Multilateral through UN and others,"1,835.20"
All donors,2014,Volumes,Contributions to EU institutions' humanitarian assistance,"2,228.20"
All donors,2015,Volumes,Bilateral,"17,677.90"
All donors,2015,Volumes,Multilateral through UN and others,"2,219.30"
All donors,2015,Volumes,Contributions to EU institutions' humanitarian assistance,"1,974.20"
All donors,2016,Volumes,Bilateral,"18,613.60"
All donors,2016,Volumes,Multilateral through UN and others,"2,035.60"
All donors,2016,Volumes,Contributions to EU institutions' humanitarian assistance,"3,581.00"
All donors,2017,Volumes,Bilateral,"19,651.10"
All donors,2017,Volumes,Multilateral through UN and others,"2,526.90"
All donors,2017,Volumes,Contributions to EU institutions' humanitarian assistance,"2,739.70"
All donors,2018,Volumes,Bilateral,"21,644.30"
All donors,2018,Volumes,Multilateral through UN and others,"3,010.40"
All donors,2018,Volumes,Contributions to EU institutions' humanitarian assistance,"2,475.10"
All donors,2019,Volumes,Bilateral,"21,227.00"
All donors,2019,Volumes,Multilateral through UN and others,"3,129.60"
All donors,2019,Volumes,Contributions to EU institutions' humanitarian assistance,"2,427.70"
All donors,2020,Volumes,Bilateral,"20,552.80"
All donors,2020,Volumes,Multilateral through UN and others,"2,848.70"
All donors,2020,Volumes,Contributions to EU institutions' humanitarian assistance,"2,776.10"
All donors,2021,Volumes,Bilateral,"24,092.30"
All donors,2021,Volumes,Multilateral through UN and others,"2,707.30"
All donors,2021,Volumes,Contributions to EU institutions' humanitarian assistance,"3,334.50"
All donors,2022,Volumes,Bilateral,"32,234.30"
All donors,2022,Volumes,Multilateral through UN and others,"1,905.50"
All donors,2022,Volumes,Contributions to EU institutions' humanitarian assistance,"3,989.70"
Australia,2013,Volumes,Bilateral,241
Australia,2013,Volumes,Multilateral through UN and others,66.9
Australia,2013,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Australia,2014,Volumes,Bilateral,274.9
Australia,2014,Volumes,Multilateral through UN and others,69.1
Australia,2014,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Australia,2015,Volumes,Bilateral,280.6
Australia,2015,Volumes,Multilateral through UN and others,72.8
Australia,2015,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Australia,2016,Volumes,Bilateral,174.2
Australia,2016,Volumes,Multilateral through UN and others,74.4
Australia,2016,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Australia,2017,Volumes,Bilateral,227.5
Australia,2017,Volumes,Multilateral through UN and others,51.7
Australia,2017,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Australia,2018,Volumes,Bilateral,202.6
Australia,2018,Volumes,Multilateral through UN and others,53.1
Australia,2018,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Australia,2019,Volumes,Bilateral,255.7
Australia,2019,Volumes,Multilateral through UN and others,36.9
Australia,2019,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Australia,2020,Volumes,Bilateral,268
Australia,2020,Volumes,Multilateral through UN and others,36.1
Australia,2020,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Australia,2021,Volumes,Bilateral,346
Australia,2021,Volumes,Multilateral through UN and others,30.7
Australia,2021,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Australia,2022,Volumes,Bilateral,396.2
Australia,2022,Volumes,Multilateral through UN and others,40.8
Australia,2022,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Austria,2013,Volumes,Bilateral,17.4
Austria,2013,Volumes,Multilateral through UN and others,6.3
Austria,2013,Volumes,Contributions to EU institutions' humanitarian assistance,46.5
Austria,2014,Volumes,Bilateral,20.5
Austria,2014,Volumes,Multilateral through UN and others,6.6
Austria,2014,Volumes,Contributions to EU institutions' humanitarian assistance,53.6
Austria,2015,Volumes,Bilateral,25.8
Austria,2015,Volumes,Multilateral through UN and others,7.9
Austria,2015,Volumes,Contributions to EU institutions' humanitarian assistance,45.9
Austria,2016,Volumes,Bilateral,37.9
Austria,2016,Volumes,Multilateral through UN and others,8.3
Austria,2016,Volumes,Contributions to EU institutions' humanitarian assistance,86
Austria,2017,Volumes,Bilateral,66.9
Austria,2017,Volumes,Multilateral through UN and others,11.6
Austria,2017,Volumes,Contributions to EU institutions' humanitarian assistance,65.8
Austria,2018,Volumes,Bilateral,28.2
Austria,2018,Volumes,Multilateral through UN and others,11.4
Austria,2018,Volumes,Contributions to EU institutions' humanitarian assistance,60.9
Austria,2019,Volumes,Bilateral,46.9
Austria,2019,Volumes,Multilateral through UN and others,15.4
Austria,2019,Volumes,Contributions to EU institutions' humanitarian assistance,58.2
Austria,2020,Volumes,Bilateral,65.7
Austria,2020,Volumes,Multilateral through UN and others,14.3
Austria,2020,Volumes,Contributions to EU institutions' humanitarian assistance,70.4
Austria,2021,Volumes,Bilateral,115.2
Austria,2021,Volumes,Multilateral through UN and others,16.1
Austria,2021,Volumes,Contributions to EU institutions' humanitarian assistance,78.8
Austria,2022,Volumes,Bilateral,174.6
Austria,2022,Volumes,Multilateral through UN and others,16.7
Austria,2022,Volumes,Contributions to EU institutions' humanitarian assistance,93.9
Belgium,2013,Volumes,Bilateral,143.5
