Donor,Year,Display,Series,Value
All donors,2013,Proportion,Multilateral organisations,58
Australia,2013,Proportion,Multilateral organisations,53
Belgium,2013,Proportion,Multilateral organisations,53
Canada,2013,Proportion,Multilateral organisations,66
Czech Republic,2013,Proportion,Multilateral organisations,27
Denmark,2013,Proportion,Multilateral organisations,41
EU institutions,2013,Proportion,Multilateral organisations,48
Finland,2013,Proportion,Multilateral organisations,65
France,2013,Proportion,Multilateral organisations,55
Germany,2013,Proportion,Multilateral organisations,52
Greece,2013,Proportion,Multilateral organisations,63
Hungary,2013,Proportion,Multilateral organisations,63
Iceland,2013,Proportion,Multilateral organisations,53
Ireland,2013,Proportion,Multilateral organisations,21
Italy,2013,Proportion,Multilateral organisations,53
Japan,2013,Proportion,Multilateral organisations,88
Korea,2013,Proportion,Multilateral organisations,76
Luxembourg,2013,Proportion,Multilateral organisations,40
Netherlands,2013,Proportion,Multilateral organisations,33
New Zealand,2013,Proportion,Multilateral organisations,69
Norway,2013,Proportion,Multilateral organisations,25
Poland,2013,Proportion,Multilateral organisations,59
Saudi Arabia,2013,Proportion,Multilateral organisations,8
Slovakia,2013,Proportion,Multilateral organisations,34
Slovenia,2013,Proportion,Multilateral organisations,43
Spain,2013,Proportion,Multilateral organisations,48
Sweden,2013,Proportion,Multilateral organisations,46
Switzerland,2013,Proportion,Multilateral organisations,35
UAE,2013,Proportion,Multilateral organisations,17
UK,2013,Proportion,Multilateral organisations,56
US,2013,Proportion,Multilateral organisations,73
All donors,2013,Proportion,NGOs,20
Australia,2013,Proportion,NGOs,13
Belgium,2013,Proportion,NGOs,14
Canada,2013,Proportion,NGOs,18
Czech Republic,2013,Proportion,NGOs,62
Denmark,2013,Proportion,NGOs,34
EU institutions,2013,Proportion,NGOs,41
Finland,2013,Proportion,NGOs,8
France,2013,Proportion,NGOs,23
Germany,2013,Proportion,NGOs,26
Greece,2013,Proportion,NGOs,0
Hungary,2013,Proportion,NGOs,1
Iceland,2013,Proportion,NGOs,0
Ireland,2013,Proportion,NGOs,29
Italy,2013,Proportion,NGOs,1
Japan,2013,Proportion,NGOs,2
Korea,2013,Proportion,NGOs,0
Luxembourg,2013,Proportion,NGOs,19
