Country_ID,Country_name,variable,value
YEM,Yemen,People_in_need_(millions),24.2
ETH,Ethiopia,People_in_need_(millions),23.9
COD,DRC,People_in_need_(millions),19.6
AFG,Afghanistan,People_in_need_(millions),18.4
NGA,Nigeria,People_in_need_(millions),16.4
VEN,Venezuela,People_in_need_(millions),14.8
SDN,Sudan,People_in_need_(millions),14.3
SYR,Syria,People_in_need_(millions),13.4
PAK,Pakistan,People_in_need_(millions),11
PRK,DPR Korea,People_in_need_(millions),10.4
COL,Colombia,People_in_need_(millions),8.5
SSD,South Sudan,People_in_need_(millions),8.3
SOM,Somalia,People_in_need_(millions),7.7
ZWE,Zimbabwe,People_in_need_(millions),7
TCD,Chad,People_in_need_(millions),6.4
MLI,Mali,People_in_need_(millions),5.9
HTI,Haiti,People_in_need_(millions),5.1
NPL,Nepal,People_in_need_(millions),4.9
CMR,Cameroon,People_in_need_(millions),4.4
IRQ,Iraq,People_in_need_(millions),4.4
MOZ,Mozambique,People_in_need_(millions),4.1
NER,Niger,People_in_need_(millions),3.8
PSE,oPt,People_in_need_(millions),3.8
GTM,Guatemala,People_in_need_(millions),3.8
MMR,Myanmar,People_in_need_(millions),3.7
BFA,Burkina Faso,People_in_need_(millions),3.5
KEN,Kenya,People_in_need_(millions),3.4
IRN,Iran,People_in_need_(millions),3.4
UKR,Ukraine,People_in_need_(millions),3.4
HND,Honduras,People_in_need_(millions),3.3
LBN,Lebanon,People_in_need_(millions),3.2
CAF,CAR,People_in_need_(millions),2.8
MWI,Malawi,People_in_need_(millions),2.6
ERI,Eritrea,People_in_need_(millions),2.6
PHL,Philippines,People_in_need_(millions),2.5
TUR,Turkey,People_in_need_(millions),2.4
BDI,Burundi,People_in_need_(millions),2.4
SLV,El Salvador,People_in_need_(millions),1.7
ZMB,Zambia,People_in_need_(millions),1.7
MDG,Madagascar,People_in_need_(millions),1.6
UGA,Uganda,People_in_need_(millions),1.5
JOR,Jordan,People_in_need_(millions),1.5
EGY,Egypt,People_in_need_(millions),1.4
BGD,Bangladesh,People_in_need_(millions),1.4
AGO,Angola,People_in_need_(millions),1.4
PER,Peru,People_in_need_(millions),1.3
LBY,Libya,People_in_need_(millions),1.3
COG,Congo,People_in_need_(millions),1.2
VNM,Viet Nam,People_in_need_(millions),1
YEM,Yemen,Severity_score,5
ETH,Ethiopia,Severity_score,5
COD,DRC,Severity_score,4
AFG,Afghanistan,Severity_score,4
NGA,Nigeria,Severity_score,4
VEN,Venezuela,Severity_score,3
SDN,Sudan,Severity_score,5
SYR,Syria,Severity_score,5
PAK,Pakistan,Severity_score,2
PRK,DPR Korea,Severity_score,4
COL,Colombia,Severity_score,4
SSD,South Sudan,Severity_score,4
SOM,Somalia,Severity_score,4
ZWE,Zimbabwe,Severity_score,4
TCD,Chad,Severity_score,5
MLI,Mali,Severity_score,4
HTI,Haiti,Severity_score,5
NPL,Nepal,Severity_score,
CMR,Cameroon,Severity_score,4
IRQ,Iraq,Severity_score,5
MOZ,Mozambique,Severity_score,4
NER,Niger,Severity_score,3
PSE,oPt,Severity_score,5
GTM,Guatemala,Severity_score,3
MMR,Myanmar,Severity_score,4
BFA,Burkina Faso,Severity_score,5
KEN,Kenya,Severity_score,3
IRN,Iran,Severity_score,4
UKR,Ukraine,Severity_score,4
HND,Honduras,Severity_score,4
